=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.11.17 16:30:51 =~=~=~=~=~=~=~=~=~=~=~=
UTC,Lat,Long,Alt,ECEF_X,ECEF_Y,ECEF_Z,ax,ay,az,gx,gy,gz,magx,magy,magz
00:30:21.900,37.42619705,-122.17655945,37.400,-2700681.500,-4292503.500,3855085.000,0.627,0.711,-9.670,0.173,-0.003,-0.019,-1405,-36,-2023
00:30:22.000,37.42619705,-122.17655945,37.400,-2700681.500,-4292503.500,3855085.000,0.646,0.733,-9.555,0.172,0.000,-0.023,-1402,-46,-2036
00:30:22.000,37.42619705,-122.17655945,37.400,-2700681.500,-4292503.500,3855085.000,0.570,0.702,-9.591,0.173,-0.001,-0.022,-1405,-46,-2033
00:30:22.200,37.42619705,-122.17655945,37.400,-2700681.500,-4292503.500,3855085.000,0.594,0.816,-9.641,0.169,0.001,-0.019,-1412,-31,-2028
00:30:54.800,37.42620087,-122.17656708,37.100,-2700681.750,-4292503.000,3855085.500,-0.572,0.728,-9.795,0.222,-0.127,-0.036,543,-18,-1505
00:30:54.900,37.42620087,-122.17656708,37.000,-2700681.750,-4292502.500,3855085.250,-0.642,0.651,-9.692,0.181,-0.051,-0.049,557,-21,-1485
00:30:54.900,37.42620087,-122.17656708,37.000,-2700681.750,-4292502.500,3855085.250,-0.761,0.690,-9.565,0.172,0.015,-0.046,551,-13,-1505
00:30:55.000,37.42620087,-122.17656708,37.000,-2700681.750,-4292502.500,3855085.250,-0.747,0.646,-9.498,0.175,0.019,-0.039,557,0,-1500
00:30:55.000,37.42620087,-122.17656708,37.000,-2700681.750,-4292502.500,3855085.250,-0.625,0.706,-9.596,0.185,-0.036,-0.018,543,-18,-1487
00:30:55.200,37.42620087,-122.17656708,37.000,-2700681.750,-4292502.500,3855085.250,-0.742,0.658,-9.629,0.190,-0.066,-0.030,555,-26,-1472
00:30:55.200,37.42620087,-122.17656708,37.000,-2700681.750,-4292502.500,3855085.250,-0.819,0.742,-9.653,0.155,-0.018,-0.027,543,-16,-1495
00:30:55.200,37.42620087,-122.17656708,37.000,-2700681.750,-4292502.500,3855085.250,-0.766,0.682,-9.699,0.151,0.000,-0.029,557,-21,-1487
00:30:55.300,37.42620087,-122.17656708,37.000,-2700681.750,-4292502.500,3855085.250,-0.742,0.543,-9.668,0.159,-0.026,-0.062,555,-21,-1487
00:30:55.300,37.42620087,-122.17656708,37.000,-2700681.750,-4292502.500,3855085.250,-0.737,0.702,-9.706,0.153,0.008,-0.070,557,-21,-1490
00:30:55.400,37.42620087,-122.17656708,37.000,-2700681.750,-4292502.500,3855085.250,-0.649,0.699,-9.639,0.164,-0.004,-0.064,565,-18,-1480
00:30:55.400,37.42620087,-122.17656708,37.000,-2700681.750,-4292502.500,3855085.250,-0.757,0.687,-9.651,0.144,0.020,-0.056,560,-21,-1482
00:30:55.500,37.42620087,-122.17656708,37.000,-2700681.750,-4292502.500,3855085.250,-0.654,0.733,-9.512,0.158,-0.026,-0.054,567,-21,-1487
