=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.11.17 16:06:41 =~=~=~=~=~=~=~=~=~=~=~=
UTC,Lat,Long,Alt,ECEF_X,ECEF_Y,ECEF_Z,ax,ay,az,gx,gy,gz,magx,magy,magz
NA,,,,,,,0.196,0.527,-8.708,-0.059,0.654,-0.028,0,0,0
NA,,,,,,,0.050,0.828,-9.041,-0.303,-0.139,-0.053,193,146,-1142
00:00:00.000,,,,,,,-0.165,1.369,-10.240,-0.305,-0.270,-0.063,211,180,-1125
00:00:00.000,,,,,,,0.469,0.555,-9.934,0.183,-0.001,-0.020,287,-248,-1177
00:00:00.000,,,,,,,0.378,0.543,-9.943,0.182,-0.003,-0.018,297,-241,-1192
00:00:00.000,,,,,,,0.433,0.508,-9.902,0.181,-0.002,-0.015,282,-251,-1187
00:00:00.000,,,,,,,0.419,0.536,-9.948,0.179,-0.001,-0.016,280,-258,-1177
00:00:00.000,,,,,,,0.426,0.579,-9.869,0.179,-0.005,-0.019,282,-236,-1180
00:00:00.000,,,,,,,0.484,0.575,-9.807,0.183,-0.002,-0.017,290,-251,-1185
00:00:00.000,,,,,,,0.366,0.548,-9.907,0.182,-0.002,-0.019,300,-243,-1177
00:00:00.000,,,,,,,0.395,0.503,-9.828,0.180,-0.006,-0.017,285,-251,-1180
00:00:00.000,,,,,,,0.397,0.515,-10.036,0.181,-0.004,-0.018,290,-233,-1182
00:00:00.000,,,,,,,0.462,0.541,-9.893,0.179,-0.002,-0.018,295,-248,-1177
00:00:00.000,,,,,,,0.448,0.512,-9.910,0.182,-0.001,-0.018,277,-246,-1180
00:00:00.000,,,,,,,0.445,0.536,-9.960,0.183,-0.001,-0.021,282,-251,-1185
00:00:00.000,,,,,,,0.469,0.491,-9.974,0.182,-0.004,-0.019,282,-251,-1185
00:00:00.000,,,,,,,0.378,0.524,-9.787,0.183,-0.004,-0.016,270,-251,-1177
00:00:00.000,,,,,,,0.412,0.551,-9.919,0.179,-0.005,-0.015,277,-241,-1182
00:00:00.000,,,,,,,0.400,0.527,-9.919,0.182,-0.002,-0.019,287,-256,-1175
00:00:00.000,,,,,,,0.314,0.584,-9.979,0.180,0.001,-0.018,292,-243,-1182
00:00:00.000,,,,,,,0.441,0.510,-9.934,0.181,-0.005,-0.016,292,-251,-1172
00:00:00.000,,,,,,,0.405,0.522,-9.890,0.185,-0.003,-0.019,270,-243,-1192
00:00:00.000,,,,,,,0.417,0.541,-9.888,0.183,-0.004,-0.016,282,-251,-1177
00:00:00.000,,,,,,,0.417,0.522,-9.977,0.184,-0.004,-0.020,282,-258,-1162
