=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.11.17 16:35:48 =~=~=~=~=~=~=~=~=~=~=~=
UTC,Lat,Long,Alt,ECEF_X,ECEF_Y,ECEF_Z,ax,ay,az,gx,gy,gz,magx,magy,magz
00:35:52.300,37.42670441,-122.17373657,29.600,-2700448.500,-4292602.500,3855125.250,0.366,0.656,-9.685,0.172,0.001,-0.022,-755,13,-791
00:35:52.300,37.42670441,-122.17373657,29.600,-2700448.500,-4292602.500,3855125.250,0.347,0.603,-9.625,0.172,-0.002,-0.023,-752,16,-788
00:35:52.400,37.42670441,-122.17373657,29.600,-2700448.500,-4292602.500,3855125.250,0.316,0.658,-9.582,0.172,-0.004,-0.020,-745,8,-776
00:35:52.400,37.42670441,-122.17373657,29.600,-2700448.500,-4292602.500,3855125.250,0.340,0.651,-9.665,0.172,0.002,-0.019,-747,18,-771
00:35:52.500,37.42670441,-122.17373657,29.600,-2700448.500,-4292602.500,3855125.250,0.397,0.632,-9.646,0.172,0.000,-0.022,-757,11,-783
00:35:52.500,37.42670441,-122.17373657,29.600,-2700448.500,-4292602.500,3855125.250,0.381,0.642,-9.594,0.172,-0.002,-0.021,-757,11,-791
00:35:52.500,37.42670441,-122.17373657,29.600,-2700448.500,-4292602.500,3855125.250,0.407,0.661,-9.697,0.173,-0.003,-0.023,-767,6,-776
00:35:52.600,37.42670441,-122.17373657,29.600,-2700448.500,-4292602.500,3855125.250,0.419,0.661,-9.670,0.173,0.002,-0.020,-765,21,-778
00:35:52.600,37.42670441,-122.17373657,29.600,-2700448.500,-4292602.500,3855125.250,0.405,0.666,-9.589,0.171,-0.001,-0.022,-750,21,-778
00:35:52.700,37.42670441,-122.17373657,29.600,-2700448.250,-4292602.500,3855125.250,0.371,0.613,-9.644,0.173,-0.000,-0.023,-757,16,-793
00:35:52.700,37.42670441,-122.17373657,29.600,-2700448.250,-4292602.500,3855125.250,0.352,0.625,-9.687,0.171,-0.002,-0.023,-757,21,-763
00:35:52.800,37.42670441,-122.17373657,29.600,-2700448.250,-4292602.500,3855125.250,0.366,0.639,-9.625,0.171,0.001,-0.021,-757,11,-776
00:35:52.800,37.42670441,-122.17373657,29.600,-2700448.250,-4292602.500,3855125.250,0.383,0.625,-9.668,0.171,-0.003,-0.021,-755,21,-778
00:35:52.900,37.42670441,-122.17372894,29.600,-2700448.250,-4292602.500,3855125.250,0.417,0.646,-9.553,0.173,0.000,-0.019,-760,6,-788
00:35:52.900,37.42670441,-122.17372894,29.600,-2700448.250,-4292602.500,3855125.250,0.395,0.615,-9.610,0.174,0.000,-0.017,-757,13,-778
00:35:53.000,37.42670441,-122.17372894,29.600,-2700448.250,-4292602.500,3855125.250,0.393,0.654,-9.596,0.172,-0.005,-0.022,-757,0,-783
00:35:53.000,37.42670441,-122.17372894,29.600,-2700448.250,-4292602.500,3855125.250,0.388,0.637,-9.608,0.173,-0.001,-0.022,-757,13,-783
00:35:53.100,37.42670441,-122.17372894,29.700,-2700448.500,-4292602.500,3855125.250,0.390,0.611,-9.613,0.173,0.000,-0.021,-757,3,-781
00:35:53.100,37.42670441,-122.17372894,29.700,-2700448.500,-4292602.500,3855125.250,0.369,0.646,-9.673,0.171,0.001,-0.023,-747,6,-781
00:35:53.200,37.42670441,-122.17372894,29.700,-2700448.500,-4292602.500,3855125.250,0.395,0.670,-9.579,0.171,0.002,-0.022,-745,13,-781
00:35:53.200,37.42670441,-122.17372894,29.700,-2700448.500,-4292602.500,3855125.250,0.326,0.651,-9.634,0.170,-0.002,-0.021,-752,13,-771
00:35:53.300,37.42670441,-122.17372894,29.700,-2700448.500,-4292602.500,3855125.250,0.362,0.666,-9.704,0.172,0.000,-0.020,-747,8,-786
00:35:53.300,37.42670441,-122.17372894,29.700,-2700448.500,-4292602.500,3855125.250,0.381,0.639,-9.553,0.172,-0.001,-0.022,-752,21,-776
00:35:53.400,37.42670441,-122.17372894,29.700,-2700448.500,-4292602.500,3855125.250,0.376,0.661,-9.651,0.174,0.000,-0.019,-742,11,-771
00:35:53.400,37.42670441,-122.17372894,29.700,-2700448.500,-4292602.500,3855125.250,0.376,0.646,-9.670,0.173,-0.001,-0.023,-750,6,-788
