=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.11.17 16:15:37 =~=~=~=~=~=~=~=~=~=~=~=
UTC,Lat,Long,Alt,ECEF_X,ECEF_Y,ECEF_Z,ax,ay,az,gx,gy,gz,magx,magy,magz
NA,,,,,,,-0.658,0.405,-10.446,-0.102,0.248,-0.248,0,0,0
NA,,,,,,,-0.515,0.345,-10.965,0.152,0.216,0.038,-853,-428,-1265
00:15:14.700,37.42678452,-122.17300415,49.300,-2700399.500,-4292645.500,3855144.000,-0.043,0.555,-10.420,0.334,0.401,0.046,-875,-448,-1257
00:15:41.700,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.279,0.338,-9.151,0.085,0.181,-0.151,-1077,-553,-1130
00:15:41.800,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.678,0.747,-8.906,-0.213,-0.080,-0.130,-1075,-541,-1127
00:15:41.800,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.638,1.128,-9.675,-0.106,-0.248,-0.068,-1052,-528,-1130
00:15:41.900,37.42682266,-122.17304230,30.900,-2700392.750,-4292629.000,3855136.250,1.585,1.228,-9.859,0.223,-0.016,-0.031,-1055,-510,-1135
00:15:41.900,37.42682266,-122.17304230,30.900,-2700392.750,-4292629.000,3855136.250,1.647,1.018,-9.713,0.535,0.090,0.015,-1045,-517,-1142
00:15:41.900,37.42682266,-122.17304230,30.900,-2700392.750,-4292629.000,3855136.250,1.513,0.706,-9.321,0.508,0.058,-0.147,-1065,-538,-1140
00:15:42.000,37.42682266,-122.17304230,30.900,-2700392.750,-4292629.000,3855136.250,1.516,0.505,-9.457,0.267,-0.130,-0.269,-1052,-538,-1145
00:15:42.100,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.542,0.692,-9.893,0.043,-0.086,-0.220,-1052,-533,-1142
00:15:42.100,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.623,1.195,-9.905,0.051,-0.016,-0.165,-1050,-517,-1147
00:15:42.200,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.714,1.202,-9.814,0.167,0.071,-0.133,-1055,-507,-1150
00:15:42.200,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.705,1.075,-9.697,0.242,0.047,-0.125,-1047,-512,-1142
00:15:42.300,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.750,0.967,-9.570,0.180,0.017,-0.045,-1057,-505,-1152
00:15:42.300,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.398,1.034,-9.680,0.172,0.011,-0.015,-1052,-507,-1135
00:15:42.400,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.537,0.886,-9.723,0.218,0.092,-0.043,-1075,-517,-1147
00:15:42.400,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.516,0.663,-9.594,0.206,0.090,-0.058,-1062,-505,-1137
00:15:42.500,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.638,0.625,-9.290,0.063,0.045,-0.037,-1062,-495,-1145
00:15:42.500,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.678,0.886,-9.555,0.046,-0.109,-0.049,-1052,-490,-1125
00:15:42.600,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.516,0.778,-9.747,0.206,0.013,-0.044,-1075,-492,-1150
00:15:42.600,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.645,0.723,-9.507,0.314,0.133,-0.019,-1065,-497,-1130
00:15:42.700,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.709,0.630,-9.244,0.233,0.048,-0.027,-1060,-500,-1122
00:15:42.700,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,1.853,0.769,-9.321,0.099,-0.074,-0.061,-1072,-505,-1135
00:15:42.800,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.714,0.953,-9.735,0.089,-0.061,-0.082,-1070,-485,-1140
00:15:42.800,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.635,0.895,-9.756,0.233,-0.063,-0.024,-1060,-487,-1152
00:15:42.900,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.477,0.680,-9.591,0.271,0.039,0.086,-1062,-495,-1130
00:15:42.900,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.547,0.551,-9.527,0.203,0.026,0.089,-1067,-502,-1130
00:15:42.900,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.559,0.524,-9.555,0.151,-0.008,0.080,-1070,-515,-1120
00:15:43.000,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.583,0.400,-9.510,0.100,-0.027,0.061,-1062,-497,-1132
00:15:43.100,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.602,0.505,-9.357,0.091,-0.021,-0.031,-1057,-512,-1150
00:15:43.100,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.642,0.639,-9.330,0.138,-0.080,-0.096,-1062,-515,-1135
00:15:43.200,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.635,0.804,-9.249,0.147,-0.066,-0.127,-1052,-495,-1145
00:15:43.200,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.489,0.946,-9.517,0.192,-0.162,-0.135,-1050,-492,-1142
00:15:43.300,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.171,0.836,-9.833,0.309,-0.103,-0.124,-1047,-495,-1155
00:15:43.300,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.077,0.622,-9.962,0.366,0.012,-0.041,-1042,-495,-1152
00:15:43.400,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.156,0.412,-9.787,0.313,-0.020,-0.016,-1050,-507,-1155
00:15:43.400,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.149,0.390,-9.936,0.168,0.075,0.006,-1045,-507,-1147
00:15:43.500,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.501,0.603,-9.663,0.058,0.163,-0.028,-1055,-507,-1152
00:15:43.500,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.695,1.022,-9.649,0.079,0.098,-0.047,-1047,-507,-1137
00:15:43.600,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.714,1.025,-9.404,0.123,0.185,-0.104,-1055,-512,-1137
00:15:43.600,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.908,1.259,-9.316,0.078,0.060,-0.143,-1075,-485,-1127
00:15:43.700,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.707,1.343,-9.407,-0.003,-0.016,-0.136,-1080,-470,-1140
00:15:43.700,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.755,1.408,-9.756,0.014,0.104,-0.035,-1075,-451,-1137
00:15:43.800,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.319,1.343,-10.068,0.203,0.083,0.033,-1077,-463,-1111
00:15:43.800,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.719,0.962,-9.433,0.148,0.317,0.063,-1097,-458,-1112
00:15:43.900,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.069,1.008,-9.301,-0.027,0.105,0.156,-1108,-466,-1098
00:15:43.900,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.093,1.288,-9.675,-0.029,-0.043,0.203,-1103,-453,-1106
00:15:43.900,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.064,1.492,-9.697,0.173,0.193,0.231,-1106,-475,-1103
00:15:44.000,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.157,1.262,-9.184,0.352,0.220,0.193,-1116,-480,-1098
00:15:44.100,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.246,1.097,-8.832,0.260,0.149,0.152,-1143,-502,-1086
00:15:44.100,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.490,1.288,-9.179,0.066,-0.108,0.071,-1138,-507,-1091
00:15:44.200,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.571,1.293,-9.555,0.074,-0.157,0.052,-1136,-500,-1081
00:15:44.200,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.265,1.197,-9.905,0.239,-0.005,0.180,-1121,-500,-1091
00:15:44.300,37.42682266,-122.17304230,30.400,-2700392.500,-4292629.000,3855136.000,2.241,1.003,-9.500,0.322,0.225,0.171,-1131,-520,-1091
00:15:44.300,37.42682266,-122.17304230,30.400,-2700392.500,-4292629.000,3855136.000,2.392,1.013,-9.143,0.165,0.087,0.094,-1143,-536,-1083
00:15:44.400,37.42682266,-122.17304230,30.400,-2700392.500,-4292629.000,3855136.000,2.133,0.958,-9.131,0.012,-0.084,-0.005,-1131,-536,-1086
00:15:44.400,37.42682266,-122.17304230,30.400,-2700392.500,-4292629.000,3855136.000,2.234,1.116,-9.146,-0.040,-0.018,-0.011,-1131,-521,-1086
00:15:44.500,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.160,1.154,-9.404,0.096,-0.104,0.026,-1131,-512,-1091
00:15:44.500,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.076,0.998,-9.373,0.198,-0.021,0.053,-1121,-515,-1093
00:15:44.600,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.227,1.056,-9.225,0.211,0.001,-0.004,-1126,-523,-1088
00:15:44.600,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.365,1.006,-9.244,0.088,-0.159,-0.065,-1116,-517,-1086
00:15:44.700,37.42682266,-122.17304230,30.400,-2700392.500,-4292629.000,3855136.000,2.373,1.166,-9.428,0.048,-0.164,-0.061,-1108,-505,-1111
00:15:44.700,37.42682266,-122.17304230,30.400,-2700392.500,-4292629.000,3855136.000,2.198,1.152,-9.677,0.158,-0.116,-0.111,-1106,-502,-1115
00:15:44.800,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,2.004,1.037,-9.629,0.286,-0.027,-0.119,-1102,-495,-1111
00:15:44.800,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,1.607,0.898,-9.404,0.350,0.098,-0.182,-1102,-505,-1103
00:15:44.900,37.42682266,-122.17304230,30.500,-2700392.500,-4292629.000,3855136.000,1.765,0.728,-9.081,0.276,0.093,-0.211,-1106,-510,-1103
00:15:44.900,37.42682266,-122.17304230,30.500,-2700392.500,-4292629.000,3855136.000,2.186,1.132,-9.055,0.224,-0.024,-0.128,-1116,-495,-1112
00:15:44.900,37.42682266,-122.17304230,30.500,-2700392.500,-4292629.000,3855136.000,2.409,1.544,-9.172,0.232,-0.091,-0.048,-1111,-495,-1106
00:15:45.000,37.42682266,-122.17304230,30.500,-2700392.500,-4292629.000,3855136.000,2.428,1.671,-9.280,0.265,-0.142,-0.069,-1106,-502,-1108
00:15:45.100,37.42682266,-122.17304230,30.500,-2700392.500,-4292629.000,3855136.000,2.306,1.738,-9.701,0.279,-0.353,-0.135,-1090,-507,-1122
00:15:45.100,37.42682266,-122.17304230,30.500,-2700392.500,-4292629.000,3855136.000,1.954,1.448,-10.039,0.298,-0.314,-0.146,-1072,-510,-1132
00:15:45.200,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.250,1.350,1.171,-10.331,0.327,-0.116,-0.054,-1067,-510,-1137
00:15:45.200,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.250,1.377,0.922,-9.893,0.238,0.137,0.084,-1065,-510,-1137
00:15:45.300,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,1.415,0.843,-9.687,0.060,0.092,0.082,-1067,-521,-1130
00:15:45.300,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,1.362,0.867,-9.680,-0.041,0.084,0.074,-1077,-520,-1132
00:15:45.400,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,1.346,0.766,-9.701,0.052,0.087,0.034,-1080,-507,-1127
00:15:45.400,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,1.475,0.536,-9.419,0.130,0.153,0.008,-1090,-507,-1122
00:15:45.500,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,1.853,0.725,-9.400,0.124,0.149,0.093,-1092,-500,-1120
00:15:45.500,37.42682266,-122.17304230,30.500,-2700392.750,-4292629.000,3855136.000,1.999,1.147,-9.325,0.180,0.114,0.037,-1102,-510,-1111
00:15:45.600,37.42682266,-122.17304230,30.500,-2700392.500,-4292629.000,3855136.000,2.035,1.156,-9.222,0.243,0.053,0.033,-1106,-510,-1112
00:15:45.600,37.42682266,-122.17304230,30.500,-2700392.500,-4292629.000,3855136.000,2.028,1.135,-9.270,0.241,0.031,-0.034,-1100,-512,-1111
00:15:45.700,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,2.066,1.085,-9.323,0.210,0.039,-0.044,-1113,-523,-1103
00:15:45.700,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.978,0.970,-9.124,0.102,-0.047,-0.104,-1108,-512,-1115
00:15:45.800,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.889,0.965,-9.115,0.013,-0.142,-0.103,-1100,-500,-1101
00:15:45.800,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,2.030,1.190,-9.275,0.047,-0.149,-0.059,-1097,-490,-1125
00:15:45.900,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.822,1.257,-9.354,0.212,-0.124,0.011,-1080,-490,-1111
00:15:45.900,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.712,0.998,-9.385,0.312,-0.098,-0.007,-1082,-490,-1112
00:15:45.900,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.920,1.061,-9.244,0.288,-0.091,-0.020,-1075,-502,-1122
00:15:46.000,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.810,1.168,-9.555,0.216,-0.288,-0.119,-1062,-507,-1140
00:15:46.100,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.659,1.259,-9.900,0.212,-0.212,-0.108,-1040,-512,-1145
00:15:46.100,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.678,1.252,-10.163,0.270,0.074,0.011,-1037,-512,-1147
00:15:46.200,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.712,1.046,-9.821,0.238,0.089,0.013,-1052,-512,-1150
00:15:46.200,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.630,0.977,-9.582,0.033,0.033,-0.001,-1060,-507,-1135
00:15:46.300,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.757,1.283,-9.622,-0.069,-0.061,-0.084,-1045,-505,-1137
00:15:46.300,37.42682266,-122.17304230,30.600,-2700392.750,-4292629.000,3855136.250,1.765,1.140,-10.001,0.072,0.016,-0.056,-1037,-492,-1140
00:15:46.400,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.666,1.219,-9.661,0.198,0.240,0.057,-1070,-490,-1135
00:15:46.400,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.628,1.099,-9.294,0.184,0.104,-0.018,-1067,-485,-1122
00:15:46.500,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.602,0.675,-9.285,0.068,0.145,0.007,-1075,-490,-1150
00:15:46.500,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,1.999,0.972,-9.143,-0.017,0.022,0.023,-1090,-490,-1117
00:15:46.600,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,2.136,1.377,-9.349,-0.001,0.024,-0.111,-1072,-475,-1122
00:15:46.600,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,2.112,1.460,-9.294,0.160,0.066,-0.141,-1080,-458,-1127
00:15:46.700,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,2.519,1.453,-8.768,0.263,0.133,0.031,-1092,-448,-1117
00:15:46.700,37.42682266,-122.17304230,30.700,-2700392.750,-4292629.000,3855136.250,2.267,1.609,-8.710,0.360,-0.164,0.051,-1082,-472,-1112
00:15:46.800,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,2.164,1.688,-8.734,0.259,-0.223,0.068,-1075,-492,-1120
00:15:46.800,37.42682266,-122.17304230,30.800,-2700392.750,-4292629.000,3855136.250,2.263,2.061,-9.232,0.444,-0.265,0.215,-1075,-482,-1147
