=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.11.17 16:14:40 =~=~=~=~=~=~=~=~=~=~=~=
UTC,Lat,Long,Alt,ECEF_X,ECEF_Y,ECEF_Z,ax,ay,az,gx,gy,gz,magx,magy,magz
NA,,,,,,,0.453,0.117,-9.653,-0.007,0.528,-0.111,0,0,0
00:14:44.500,37.42683411,-122.17302704,33.400,-2700392.500,-4292631.000,3855138.750,1.286,0.546,-9.553,0.242,-0.010,-0.089,-1126,-443,-1162
00:14:44.500,37.42683411,-122.17302704,33.400,-2700392.500,-4292631.000,3855138.750,1.302,0.572,-9.459,0.151,-0.012,-0.119,-1121,-441,-1155
00:14:44.600,37.42683411,-122.17302704,33.400,-2700392.500,-4292631.000,3855138.750,1.367,0.783,-9.651,0.141,-0.048,-0.110,-1118,-428,-1147
00:14:44.600,37.42683411,-122.17302704,33.400,-2700392.500,-4292631.000,3855138.750,1.343,0.781,-9.546,0.209,-0.018,-0.083,-1126,-438,-1152
00:14:44.700,37.42683411,-122.17302704,33.400,-2700392.500,-4292631.000,3855138.750,1.341,0.711,-9.771,0.289,-0.036,-0.061,-1111,-433,-1157
00:14:44.700,37.42683411,-122.17302704,33.400,-2700392.500,-4292631.000,3855138.750,1.190,0.555,-9.682,0.278,0.005,-0.020,-1118,-438,-1155
00:14:44.800,37.42683411,-122.17302704,33.400,-2700392.500,-4292631.000,3855138.750,1.156,0.572,-9.519,0.164,0.016,0.018,-1128,-446,-1172
00:14:44.800,37.42683411,-122.17302704,33.400,-2700392.500,-4292631.000,3855138.750,1.372,0.615,-9.570,0.085,-0.000,0.028,-1128,-453,-1160
00:14:44.900,37.42683029,-122.17302704,33.400,-2700392.750,-4292631.000,3855138.750,1.353,0.697,-9.689,0.100,0.004,0.007,-1133,-441,-1165
00:14:44.900,37.42683029,-122.17302704,33.400,-2700392.750,-4292631.000,3855138.750,1.369,0.673,-9.567,0.118,-0.024,-0.010,-1126,-438,-1160
00:14:45.000,37.42683029,-122.17302704,33.400,-2700392.750,-4292631.000,3855138.750,1.494,0.668,-9.699,0.135,0.009,0.011,-1131,-426,-1165
00:14:45.000,37.42683029,-122.17302704,33.300,-2700392.500,-4292631.000,3855138.500,1.314,0.608,-9.799,0.196,0.005,0.022,-1126,-428,-1157
00:14:45.100,37.42683029,-122.17302704,33.400,-2700392.750,-4292631.000,3855138.750,1.168,0.572,-9.572,0.237,0.044,0.008,-1118,-438,-1152
00:14:45.100,37.42683029,-122.17302704,33.400,-2700392.750,-4292631.000,3855138.750,1.228,0.548,-9.639,0.206,0.030,-0.005,-1113,-446,-1157
00:14:45.200,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.264,0.503,-9.467,0.114,-0.001,-0.008,-1118,-446,-1157
00:14:45.200,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.319,0.632,-9.632,0.091,-0.034,0.004,-1118,-431,-1160
00:14:45.300,37.42683029,-122.17302704,33.400,-2700392.750,-4292631.000,3855138.500,1.269,0.668,-9.634,0.167,-0.017,0.013,-1133,-436,-1175
00:14:45.300,37.42683029,-122.17302704,33.400,-2700392.750,-4292631.000,3855138.500,1.307,0.591,-9.562,0.230,-0.013,0.010,-1111,-436,-1167
00:14:45.400,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.233,0.622,-9.543,0.246,-0.037,-0.017,-1126,-438,-1152
00:14:45.400,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.185,0.486,-9.586,0.201,-0.033,-0.019,-1121,-443,-1162
00:14:45.500,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.204,0.551,-9.656,0.161,-0.010,-0.025,-1116,-461,-1182
00:14:45.500,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.267,0.565,-9.510,0.102,-0.006,-0.015,-1111,-446,-1147
00:14:45.600,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.183,0.658,-9.785,0.083,-0.015,-0.021,-1108,-451,-1175
00:14:45.600,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.214,0.711,-9.759,0.143,-0.008,-0.002,-1118,-428,-1177
00:14:45.700,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.221,0.608,-9.699,0.189,0.023,-0.003,-1113,-448,-1190
00:14:45.700,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.161,0.603,-9.579,0.170,-0.021,-0.013,-1106,-428,-1167
00:14:45.800,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.257,0.618,-9.629,0.173,-0.000,0.015,-1123,-438,-1152
00:14:45.800,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.161,0.596,-9.711,0.198,-0.033,-0.009,-1106,-431,-1167
00:14:45.900,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.262,0.702,-9.639,0.205,-0.035,-0.021,-1118,-451,-1172
00:14:45.900,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.500,1.168,0.721,-9.651,0.192,-0.015,-0.021,-1118,-438,-1172
00:14:46.000,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.250,1.109,0.563,-9.708,0.187,-0.031,-0.023,-1111,-438,-1177
00:14:46.000,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.250,1.156,0.582,-9.646,0.165,-0.027,-0.011,-1108,-448,-1162
00:14:46.100,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.250,1.082,0.539,-9.716,0.146,0.009,-0.015,-1111,-453,-1177
00:14:46.100,37.42683029,-122.17302704,33.300,-2700392.750,-4292631.000,3855138.250,1.147,0.570,-9.610,0.134,-0.009,-0.044,-1106,-438,-1175
00:14:46.200,37.42683029,-122.17302704,33.400,-2700393.000,-4292631.000,3855138.500,1.104,0.630,-9.725,0.121,-0.020,-0.052,-1102,-431,-1165
00:14:46.200,37.42683029,-122.17302704,33.400,-2700393.000,-4292631.000,3855138.500,1.123,0.634,-9.608,0.120,-0.023,-0.048,-1106,-431,-1185
