UTC,Lat,Long,Alt,ECEF_X,ECEF_Y,ECEF_Z,ax,ay,az,gx,gy,gz,magx,magy,magz
0,,,,,,,,,,,,,,,
00:46:01.600,37.4268074,-122.17276001,30.9,-2700372.5,-4292643.0,3855135.0,-1.097,-0.4455,-8.9375,0.1175,0.35150000000000003,-0.08449999999999999,-674.5,-907.5,-1138.5
00:46:01.700,37.4268074,-122.17276001,30.8,-2700372.5,-4292643.0,3855135.0,-1.2005,-0.10649999999999998,-10.2735,0.1355,0.201,-0.011000000000000003,-703.0,-899.5,-1130.0
00:46:01.800,37.4268074,-122.17276001,30.8,-2700372.5,-4292643.0,3855135.0,-0.47450000000000003,0.9550000000000001,-9.939499999999999,0.1555,0.5375000000000001,0.083,-746.0,-901.0,-1110.0
00:46:01.900,37.4268074,-122.17276001,30.8,-2700372.5,-4292643.0,3855135.0,0.2255,0.3855,-9.5315,0.371,0.2055,0.11149999999999999,-794.5,-914.5,-1078.5
00:46:02.000,37.4268074,-122.17276001,30.7,-2700372.5,-4292643.0,3855135.0,-0.4455,-0.542,-9.34,0.3605,0.076,0.1225,-798.5,-946.5,-1064.5
00:46:02.100,37.4268074,-122.17276001,30.7,-2700372.5,-4292643.0,3855135.0,-0.0765,-0.158,-9.619,0.1155,0.0735,0.0465,-798.0,-963.0,-1050.5
00:46:02.200,37.4268074,-122.17276001,30.6,-2700372.25,-4292643.0,3855135.0,-0.093,-0.4155,-9.6485,0.16799999999999998,0.054,0.045,-804.5,-960.5,-1048.0
00:46:02.300,37.4268074,-122.17276001,30.6,-2700372.25,-4292643.0,3855135.0,0.48,-0.3865,-9.7865,0.17149999999999999,0.186,0.097,-802.0,-966.0,-1043.0
00:46:02.400,37.42681122,-122.17276001,30.5,-2700372.25,-4292643.0,3855135.0,0.7075,0.065,-10.181000000000001,0.2305,0.533,0.0675,-839.5,-974.5,-1023.5
00:46:02.500,37.42681122,-122.17276001,30.4,-2700372.25,-4292642.5,3855134.75,1.0070000000000001,0.6975,-7.715,0.23099999999999998,0.692,-0.311,-908.5,-980.5,-965.5
00:46:02.600,37.42681122,-122.17276001,30.3,-2700372.25,-4292642.5,3855134.75,0.6165,0.07050000000000001,-9.543,-0.098,-0.056,-0.13,-947.0,-949.5,-963.5
00:46:02.700,37.42681122,-122.17276001,30.2,-2700372.25,-4292642.5,3855134.75,1.288,0.33499999999999996,-9.2895,-0.14300000000000002,-0.3435,-0.0965,-921.0,-920.0,-985.5
00:46:02.800,37.42681122,-122.17276001,30.2,-2700372.25,-4292642.5,3855134.75,1.1085,0.7875,-9.808,-0.071,-0.332,-0.006500000000000002,-885.0,-883.0,-1023.0
00:46:02.900,37.42681122,-122.17276001,30.2,-2700372.25,-4292642.5,3855134.75,0.742,0.8105,-10.1455,0.145,-0.10999999999999999,0.0455,-864.5,-877.0,-1044.5
00:46:03.000,37.42681122,-122.17276001,30.1,-2700372.25,-4292642.5,3855134.75,0.6875,0.4995,-9.868,0.16949999999999998,-0.061,0.0415,-853.5,-884.0,-1054.5
00:46:03.100,37.42681122,-122.17276001,30.0,-2700372.25,-4292642.5,3855134.75,0.6545000000000001,0.516,-9.82,0.176,-0.03,-0.003000000000000001,-844.5,-878.0,-1051.0
00:46:03.200,37.42681122,-122.17276001,30.0,-2700372.0,-4292642.5,3855134.75,0.583,0.6875,-9.7035,0.197,0.025500000000000002,-0.0185,-838.0,-881.5,-1051.0
00:46:03.300,37.42681122,-122.17276001,29.9,-2700372.0,-4292642.5,3855134.75,0.7005,0.6585000000000001,-9.5245,0.251,-0.0225,-0.057499999999999996,-848.5,-877.0,-1054.5
00:46:03.400,37.42681122,-122.17276001,29.7,-2700372.0,-4292642.0,3855134.5,0.6165,0.5805,-9.4735,0.22599999999999998,-0.126,0.0085,-842.0,-893.5,-1048.0
00:46:03.500,37.42681122,-122.17276001,29.7,-2700372.0,-4292642.0,3855134.5,0.4425,0.377,-10.028,0.216,-0.044500000000000005,-0.0325,-839.5,-896.0,-1057.0
00:46:03.600,37.42681122,-122.17276001,29.6,-2700372.0,-4292642.0,3855134.5,0.494,0.5445,-9.7255,0.20350000000000001,0.041,-0.024,-828.5,-897.0,-1052.0
00:46:03.700,37.42681122,-122.17276001,29.6,-2700371.75,-4292642.0,3855134.5,0.7084999999999999,0.41800000000000004,-9.506,0.199,-0.05499999999999999,-0.019000000000000003,-830.5,-896.0,-1049.5
00:46:03.800,37.42681122,-122.17276001,29.6,-2700371.75,-4292642.0,3855134.5,0.9384999999999999,1.0365,-9.6595,0.157,-0.141,0.07250000000000001,-827.0,-903.5,-1054.5
00:46:03.900,37.42681122,-122.17276001,29.5,-2700371.75,-4292642.0,3855134.5,-0.011999999999999983,0.099,-10.16,0.243,0.1215,0.1975,-812.0,-921.0,-1064.5
00:46:04.000,37.42681122,-122.17276001,29.6,-2700371.75,-4292642.0,3855134.5,0.478,-0.005999999999999998,-9.571,0.418,-0.16649999999999998,0.011499999999999996,-799.5,-941.5,-1050.5
00:46:04.100,37.42681122,-122.17276001,29.5,-2700371.75,-4292642.0,3855134.5,0.0015000000000000005,-0.225,-9.1905,0.40349999999999997,-0.11449999999999999,-0.066,-778.5,-990.5,-1052.0
00:46:04.200,37.42681122,-122.17276001,29.6,-2700371.75,-4292642.0,3855134.5,0.44999999999999996,0.605,-10.064,-0.0805,0.1755,-0.073,-790.5,-968.0,-1042.0
00:46:04.300,37.42681122,-122.17276001,29.5,-2700371.75,-4292642.0,3855134.5,0.41800000000000004,-0.0105,-9.613,-0.0034999999999999996,0.08700000000000001,-0.07300000000000001,-806.0,-944.0,-1039.5
00:46:04.400,37.42681122,-122.17276001,29.5,-2700371.75,-4292642.0,3855134.5,0.5315,0.20950000000000002,-9.6645,0.20500000000000002,-0.08399999999999999,0.0335,-808.0,-957.0,-1052.0
00:46:04.500,37.42681122,-122.17276001,29.4,-2700371.75,-4292642.0,3855134.5,0.25,0.25,-9.7645,0.20900000000000002,-0.07250000000000001,-0.0655,-791.5,-936.0,-1052.0
00:46:04.600,37.42681122,-122.17276001,29.4,-2700371.75,-4292642.0,3855134.5,0.34850000000000003,0.14600000000000002,-9.483,0.1585,-0.034,-0.039,-784.5,-942.5,-1051.0
00:46:04.700,37.42681122,-122.17276001,29.4,-2700371.75,-4292642.0,3855134.5,0.19999999999999998,0.29300000000000004,-9.432,-0.081,-0.14650000000000002,-0.0015000000000000005,-793.0,-935.5,-1064.5
00:46:04.800,37.42681122,-122.17276001,29.4,-2700371.75,-4292642.0,3855134.5,0.061000000000000006,0.6115,-9.1965,-0.5235000000000001,-0.16299999999999998,-0.0475,-758.5,-880.5,-1102.0
00:46:04.900,37.42681122,-122.17276001,29.3,-2700371.75,-4292642.0,3855134.25,0.157,2.2735000000000003,-8.7675,-1.1775,0.053,-0.036,-753.5,-761.5,-1128.5
00:46:05.000,37.42681122,-122.17276001,29.3,-2700371.75,-4292642.0,3855134.25,-0.073,3.5324999999999998,-8.805,-1.374,0.009500000000000001,-0.1975,-759.5,-605.5,-1167.5
00:46:05.100,37.42681122,-122.17276001,29.3,-2700371.75,-4292642.0,3855134.25,-0.4115,4.7165,-7.846,-1.9170000000000003,-0.0755,-0.29200000000000004,-766.0,-397.0,-1172.0
00:46:05.200,37.42681122,-122.17276001,29.2,-2700371.75,-4292642.0,3855134.25,-0.3025,7.3774999999999995,-7.0855,-2.2119999999999997,-0.095,-0.21450000000000002,-759.5,-117.5,-1147.0
00:46:05.300,37.42681122,-122.17276764,29.2,-2700371.75,-4292642.0,3855134.25,-0.4115,8.587,-5.71,-1.779,-0.40249999999999997,-0.141,-737.0,126.0,-1057.0
00:46:05.400,37.42681122,-122.17276764,29.2,-2700371.75,-4292642.0,3855134.25,-0.5175000000000001,8.905000000000001,-3.9240000000000004,-1.577,-0.577,0.04,-706.5,310.5,-978.0
00:46:05.500,37.42681122,-122.17276764,29.2,-2700371.75,-4292641.5,3855134.25,-0.7815,9.561499999999999,-2.6265,-1.467,-0.316,0.0855,-688.0,474.0,-841.0
00:46:05.600,37.42681122,-122.17276764,29.2,-2700372.0,-4292641.5,3855134.25,-1.0215,10.052,-1.3984999999999999,-1.02,-0.1215,0.09,-696.0,576.5,-716.0
00:46:05.700,37.42681122,-122.17276764,29.2,-2700372.0,-4292641.5,3855134.25,-0.869,10.111,-0.21900000000000003,-0.451,0.0435,0.1095,-715.0,637.0,-633.0
00:46:05.800,37.42681122,-122.17276764,29.2,-2700372.0,-4292641.5,3855134.25,-0.6825,9.722999999999999,0.5589999999999999,-0.1775,0.157,0.14150000000000001,-747.5,646.0,-572.0
00:46:05.900,37.42681122,-122.17276764,29.1,-2700372.0,-4292641.5,3855134.25,-0.637,9.5805,0.881,-0.0665,0.2475,0.049,-764.5,654.5,-547.5
