=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.11.20 13:43:38 =~=~=~=~=~=~=~=~=~=~=~=
UTC,Lat,Long,Alt,ECEF_X,ECEF_Y,ECEF_Z,ax,ay,az,gx,gy,gz,magx,magy,magz
NA,,,,,,,-0.699,-0.802,11.533,-0.576,-1.077,-0.290,0,0,0
NA,,,,,,,-0.156,-1.132,9.677,-0.508,-0.837,-0.064,523,-497,1076
00:00:00.000,,,,,,,0.031,-1.247,10.175,-0.367,-0.198,-0.009,498,-500,1101
00:00:00.000,,,,,,,-0.194,-0.493,9.785,0.176,-0.001,-0.022,521,-400,1058
00:00:00.000,,,,,,,-0.196,-0.450,9.878,0.179,-0.003,-0.022,526,-407,1048
00:00:00.000,,,,,,,-0.177,-0.553,9.962,0.182,-0.003,-0.021,528,-410,1048
00:00:00.000,,,,,,,-0.153,-0.486,9.934,0.175,0.000,-0.024,526,-410,1051
00:00:00.000,,,,,,,-0.237,-0.505,9.967,0.182,-0.001,-0.026,521,-416,1056
00:00:00.000,,,,,,,-0.170,-0.460,9.785,0.179,0.001,-0.021,523,-412,1053
00:00:00.000,,,,,,,-0.199,-0.520,9.886,0.180,-0.005,-0.019,523,-415,1046
00:00:00.000,,,,,,,-0.148,-0.493,9.922,0.177,-0.004,-0.020,523,-415,1048
00:00:00.000,,,,,,,-0.213,-0.474,9.831,0.178,-0.005,-0.020,521,-416,1051
00:00:00.000,,,,,,,-0.199,-0.517,9.934,0.176,-0.003,-0.023,523,-410,1048
00:00:00.000,,,,,,,-0.204,-0.524,9.922,0.179,-0.005,-0.023,528,-402,1051
00:00:00.000,,,,,,,-0.206,-0.527,9.816,0.177,-0.001,-0.021,526,-410,1053
00:00:00.000,,,,,,,-0.134,-0.491,9.893,0.179,-0.005,-0.022,526,-407,1041
00:00:00.000,,,,,,,-0.160,-0.515,9.910,0.178,-0.001,-0.024,521,-407,1051
00:00:00.000,,,,,,,-0.163,-0.517,9.967,0.178,-0.005,-0.022,523,-410,1053
00:00:00.000,,,,,,,-0.247,-0.543,9.859,0.174,-0.003,-0.025,523,-405,1043
00:00:00.000,,,,,,,-0.187,-0.496,9.924,0.176,-0.005,-0.022,526,-410,1048
00:00:00.000,,,,,,,-0.218,-0.488,9.919,0.181,-0.006,-0.019,521,-416,1048
00:00:00.000,,,,,,,-0.223,-0.486,9.878,0.175,-0.002,-0.023,536,-407,1058
00:00:00.000,,,,,,,-0.199,-0.510,9.972,0.176,-0.003,-0.023,521,-412,1046
00:00:00.000,,,,,,,-0.247,-0.500,9.946,0.178,-0.004,-0.021,523,-400,1038
00:00:00.000,,,,,,,-0.134,-0.481,9.869,0.174,-0.006,-0.019,511,-418,1058
00:00:00.000,,,,,,,-0.158,-0.491,9.855,0.180,-0.002,-0.022,511,-418,1048
00:00:00.000,,,,,,,-0.208,-0.481,9.981,0.178,-0.000,-0.023,523,-410,1046
00:00:00.000,,,,,,,-0.177,-0.524,9.950,0.177,-0.005,-0.022,528,-397,1056
00:00:00.000,,,,,,,-0.208,-0.505,9.867,0.177,-0.002,-0.022,513,-397,1051
00:00:00.000,,,,,,,-0.192,-0.527,9.905,0.178,0.002,-0.022,513,-395,1046
00:00:00.000,,,,,,,-0.180,-0.522,9.888,0.177,-0.004,-0.023,531,-416,1048
00:00:00.000,,,,,,,-0.239,-0.441,9.955,0.180,-0.003,-0.019,516,-407,1041
00:00:00.000,,,,,,,-0.230,-0.541,9.859,0.177,-0.001,-0.021,528,-412,1058
00:00:00.000,,,,,,,-0.225,-0.467,9.811,0.178,-0.005,-0.024,521,-415,1051
00:00:00.000,,,,,,,-0.177,-0.512,9.843,0.179,-0.006,-0.022,531,-410,1048
00:00:00.000,,,,,,,-0.223,-0.493,9.886,0.178,-0.003,-0.023,513,-397,1053
00:00:00.000,,,,,,,-0.196,-0.472,9.888,0.179,-0.002,-0.022,528,-412,1051
00:00:00.000,,,,,,,-0.139,-0.512,9.843,0.180,-0.002,-0.022,516,-423,1036
00:00:00.000,,,,,,,-0.196,-0.484,9.855,0.175,-0.005,-0.023,531,-402,1061
00:00:00.000,,,,,,,-0.218,-0.567,9.876,0.179,-0.000,-0.023,518,-416,1051
00:00:00.000,,,,,,,-0.184,-0.524,9.929,0.179,-0.003,-0.022,521,-400,1053
00:00:00.000,,,,,,,-0.180,-0.520,9.876,0.178,-0.002,-0.020,513,-412,1048
00:00:00.000,,,,,,,-0.129,-0.498,9.898,0.178,-0.000,-0.022,511,-395,1051
00:00:00.000,,,,,,,-0.158,-0.469,9.864,0.177,-0.003,-0.023,521,-392,1066
00:00:00.000,,,,,,,-0.158,-0.515,9.943,0.179,-0.004,-0.019,533,-407,1048
00:00:00.000,,,,,,,-0.199,-0.457,9.917,0.179,-0.007,-0.023,521,-412,1051
00:00:00.000,,,,,,,-0.251,-0.529,9.871,0.183,-0.001,-0.024,531,-407,1046
00:00:00.000,,,,,,,-0.218,-0.512,9.922,0.179,-0.002,-0.021,543,-402,1038
00:00:00.000,,,,,,,-0.199,-0.524,9.919,0.179,-0.002,-0.023,511,-412,1048
00:00:00.000,,,,,,,-0.259,-0.476,9.960,0.179,0.001,-0.022,521,-407,1041
00:00:00.000,,,,,,,-0.201,-0.476,9.926,0.179,-0.001,-0.022,521,-412,1058
00:00:00.000,,,,,,,-0.187,-0.474,9.859,0.176,-0.002,-0.022,546,-405,1053
00:00:00.000,,,,,,,-0.163,-0.476,9.943,0.173,-0.005,-0.021,523,-416,1058
00:00:00.000,,,,,,,-0.170,-0.512,9.881,0.180,-0.001,-0.024,528,-421,1061
00:00:00.000,,,,,,,-0.263,-0.474,9.855,0.179,-0.004,-0.022,526,-416,1048
00:00:00.000,,,,,,,-0.218,-0.508,9.910,0.178,-0.002,-0.022,516,-400,1051
00:00:00.000,,,,,,,-0.218,-0.476,9.838,0.176,0.000,-0.021,513,-400,1048
00:00:00.000,,,,,,,-0.215,-0.543,9.881,0.179,-0.001,-0.020,511,-405,1048
00:00:00.000,,,,,,,-0.175,-0.464,9.852,0.179,-0.004,-0.019,513,-397,1048
00:00:00.000,,,,,,,-0.180,-0.520,9.926,0.179,-0.001,-0.022,538,-405,1061
00:00:00.000,,,,,,,-0.206,-0.481,9.924,0.180,-0.004,-0.021,523,-415,1058
00:00:00.000,,,,,,,-0.180,-0.500,9.905,0.179,0.001,-0.024,523,-402,1061
00:00:00.000,,,,,,,-0.187,-0.488,9.898,0.178,-0.001,-0.020,536,-397,1056
00:00:00.000,,,,,,,-0.285,-0.486,9.900,0.180,-0.002,-0.022,518,-407,1048
00:00:00.000,,,,,,,-0.172,-0.464,9.852,0.180,-0.004,-0.021,528,-395,1071
00:00:00.000,,,,,,,-0.196,-0.498,9.934,0.179,-0.003,-0.023,528,-410,1051
00:00:00.000,,,,,,,-0.223,-0.539,9.787,0.174,-0.004,-0.023,528,-421,1056
00:00:00.000,,,,,,,-0.232,-0.476,9.859,0.178,-0.001,-0.025,531,-407,1053
00:00:00.000,,,,,,,-0.168,-0.476,9.895,0.180,0.000,-0.021,521,-418,1036
00:00:00.000,,,,,,,-0.201,-0.472,9.874,0.174,-0.001,-0.022,526,-416,1036
00:00:00.000,,,,,,,-0.184,-0.517,9.924,0.178,-0.005,-0.019,531,-397,1051
00:00:00.000,,,,,,,-0.223,-0.464,9.912,0.177,0.000,-0.023,528,-397,1036
00:00:00.000,,,,,,,-0.182,-0.555,9.936,0.181,-0.001,-0.022,533,-405,1058
00:00:00.000,,,,,,,-0.230,-0.464,9.946,0.182,-0.004,-0.025,523,-405,1056
00:00:00.000,,,,,,,-0.182,-0.484,9.838,0.179,-0.002,-0.021,523,-402,1048
00:00:00.000,,,,,,,-0.192,-0.479,9.859,0.178,-0.004,-0.021,526,-410,1038
00:00:00.000,,,,,,,-0.160,-0.484,9.974,0.176,-0.002,-0.022,533,-407,1051
